URL,Category
https://www.booking.com/index.ru.html,Social Networking and Messaging
https://www.youtube.com/,"Streaming Services | [[0.07904982 0.0676571  0.07802662 0.05755006 0.05141425 0.02210626
  0.08775176 0.0439507  0.03362611 0.04877859 0.1182318  0.06230316
  0.03965592 0.13042451 0.07947344]]"
https://stackoverflow.com/,"Games | [[0.06156076 0.04091358 0.02136105 0.02359928 0.02013368 0.01989811
  0.6674381  0.02843291 0.00970406 0.03032608 0.01654446 0.00947268
  0.025486   0.00746915 0.0176601 ]]"
https://www.dota2.com/home?l=english,"Streaming Services | [[0.07904982 0.0676571  0.07802662 0.05755006 0.05141425 0.02210626
  0.08775176 0.0439507  0.03362611 0.04877859 0.1182318  0.06230316
  0.03965592 0.13042451 0.07947344]]"
https://toytheater.com/category/play/games/,"Forums | [[0.0605893  0.08066748 0.0473508  0.03330003 0.04634636 0.26784584
  0.04900223 0.03481614 0.07076915 0.05545468 0.07594351 0.07596619
  0.05603344 0.04591482]]"
"https://toytheater.com/category/play/games/
","Computers and Technology | [[0.08702921 0.16987923 0.06878603 0.05495716 0.05140697 0.07962038
  0.04881585 0.03828325 0.05096156 0.05250911 0.05587627 0.06165057
  0.13591766 0.04430664]]"
"https://toytheater.com/category/play/games/
","Computers and Technology | [[0.08702921 0.16987923 0.06878603 0.05495716 0.05140697 0.07962038
  0.04881585 0.03828325 0.05096156 0.05250911 0.05587627 0.06165057
  0.13591766 0.04430664]]"
"https://www.mathplayground.com/kindergarten_games.html
","Education | [[0.08966449 0.12052347 0.10161314 0.12609266 0.05144129 0.04026639
  0.05016902 0.04676297 0.06360365 0.05534669 0.03123153 0.09493314
  0.07618449 0.05216703]]"
https://www.dota2.com/home,"Computers and Technology | [[0.07329757 0.07431326 0.07168869 0.07357619 0.07033797 0.06962898
  0.07166416 0.06970961 0.06912714 0.07351779 0.07120152 0.07064371
  0.07181847 0.06947488]]"
https://blog.counter-strike.net/,"Games | [[0.01544376 0.0852506  0.08499864 0.02007611 0.03815971 0.29792702
  0.01323209 0.0094758  0.08376739 0.0154803  0.03177663 0.14764369
  0.11706121 0.03970709]]"
https://store.steampowered.com/,"Games | [[0.00708015 0.05968936 0.02387353 0.01283679 0.03699337 0.31580856
  0.01095147 0.00095056 0.07499034 0.02632642 0.00872798 0.22813562
  0.16252272 0.03111318]]"
https://www.dotabuff.com/,"E-Commerce | [[0.09848978 0.09880897 0.11055189 0.08596566 0.06409889 0.05702827
  0.05403057 0.04884662 0.05947998 0.07606944 0.05769848 0.05789467
  0.06372759 0.06730923]]"
https://www.trip.com/?locale=en_xx,"Travel | [[0.07449232 0.07422801 0.06342181 0.0739051  0.04943855 0.04865681
  0.04827826 0.02739037 0.08391508 0.05550763 0.05846723 0.10038908
  0.04236577 0.19954404]]"
https://juliaandgil.com/,"Photography | [[0.03273146 0.01335313 0.03671177 0.01680198 0.00484484 0.0111252
  0.0055568  0.01427359 0.00285761 0.82469654 0.01247906 0.00603454
  0.00572597 0.01280741]]"
https://www.cnbc.com/world/?region=world,"Business and Corporate | [[0.21896057 0.11962116 0.06659964 0.07558696 0.02608673 0.04198126
  0.02526104 0.03662125 0.09567151 0.05307706 0.0233622  0.05639367
  0.06955809 0.09121884]]"
https://ru.wikipedia.org/wiki/CNBC,"Computers and Technology | [[0.18844205 0.19830857 0.04194819 0.05161634 0.03695085 0.03152812
  0.02658812 0.03378009 0.08624741 0.03386942 0.07321174 0.04401029
  0.11095072 0.04254806]]"
https://en.wikipedia.org/wiki/Main_Page,"Education | [[0.04226743 0.08643881 0.02063633 0.7024267  0.01139606 0.01199249
  0.0073591  0.06505632 0.00784609 0.0069893  0.00265815 0.00306553
  0.01590998 0.01595767]]"
"https://www.wegmans.com/
","Computers and Technology | [[0.0988875  0.16250724 0.1083126  0.07163967 0.05588068 0.05983231
  0.05540713 0.06085378 0.03759608 0.09218929 0.04729966 0.06350694
  0.03974248 0.04634462]]"
"https://www.wegmans.com/
","Computers and Technology | [[0.0988875  0.16250724 0.1083126  0.07163967 0.05588068 0.05983231
  0.05540713 0.06085378 0.03759608 0.09218929 0.04729966 0.06350694
  0.03974248 0.04634462]]"
"https://www.ipes-food.org/
","Education | [[0.08836053 0.08803735 0.11800753 0.15698874 0.08507313 0.01405408
  0.06072334 0.05937683 0.13809748 0.04878966 0.01504862 0.01277377
  0.03149943 0.08316957]]"
"https://www.plantpowerfastfood.com/
",Business and Corporate: 0.07604478299617767Computers and Technology: 0.09058541804552078E-Commerce: 0.1244630441069603Education: 0.09838918596506119Food: 0.1268993616104126Games: 0.04704632982611656Health and Fitness: 0.06427432596683502Law and Government: 0.06463079154491425News: 0.08706814050674438Photography: 0.04842132702469826Social Networking and Messaging: 0.02857963927090168Sports: 0.019751856103539467Streaming Services: 0.04645664244890213Travel: 0.07738911360502243
https://country.db.com/index?language_id=1&kid=country-db-com.domain,Business and Corporate: 0.4471980035305023E-Commerce: 0.06552226096391678Education: 0.15095995366573334Entertainment: 0.045523323118686676News: 0.15081584453582764Social Networking and Messaging: 0.13998067378997803
https://www.amazon.com/,Business and Corporate: 0.17320604622364044E-Commerce: 0.15703442692756653Education: 0.1810179352760315Entertainment: 0.1611010581254959News: 0.1570311188697815Social Networking and Messaging: 0.17060941457748413
https://www.ebay.com/,Business and Corporate: 0.08960134536027908E-Commerce: 0.08380591869354248Education: 0.13646507263183594Entertainment: 0.1330963373184204News: 0.13106201589107513Social Networking and Messaging: 0.42596927285194397
https://www.walmart.com/,Business and Corporate: 0.12110858410596848E-Commerce: 0.5952757596969604Education: 0.055203553289175034Entertainment: 0.06761988252401352News: 0.08015663176774979Social Networking and Messaging: 0.08063562214374542
https://www.amazon.com/,Business and Corporate: 0.17320604622364044E-Commerce: 0.15703442692756653Education: 0.1810179352760315Entertainment: 0.1611010581254959News: 0.1570311188697815Social Networking and Messaging: 0.17060941457748413
